Файл данных опроса от 11:20:21 15.02.2021
Прибор № 1 (адрес - 1)
Addr: 1 ; Command: 1 ; Pressure: -0,0043121 MPa ; Time: 11:21:19.526 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042860 MPa ; Time: 11:21:20.524 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043007 MPa ; Time: 11:21:21.526 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042852 MPa ; Time: 11:21:22.545 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042414 MPa ; Time: 11:21:23.544 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042118 MPa ; Time: 11:21:24.557 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041821 MPa ; Time: 11:21:25.544 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042176 MPa ; Time: 11:21:26.566 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041683 MPa ; Time: 11:21:27.568 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041677 MPa ; Time: 11:21:28.572 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041535 MPa ; Time: 11:21:29.583 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041108 MPa ; Time: 11:21:30.584 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041144 MPa ; Time: 11:21:31.591 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041002 MPa ; Time: 11:21:32.589 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041324 MPa ; Time: 11:21:33.593 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041792 MPa ; Time: 11:21:34.599 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041702 MPa ; Time: 11:21:35.598 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041754 MPa ; Time: 11:21:36.617 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042211 MPa ; Time: 11:21:37.623 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042384 MPa ; Time: 11:21:38.642 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042235 MPa ; Time: 11:21:39.645 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041948 MPa ; Time: 11:21:40.648 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041331 MPa ; Time: 11:21:41.655 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041373 MPa ; Time: 11:21:42.642 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042290 MPa ; Time: 11:21:43.645 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042618 MPa ; Time: 11:21:44.648 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042631 MPa ; Time: 11:21:45.670 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042938 MPa ; Time: 11:21:46.647 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042965 MPa ; Time: 11:21:47.667 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043002 MPa ; Time: 11:21:48.685 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042388 MPa ; Time: 11:21:49.670 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041772 MPa ; Time: 11:21:50.700 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041146 MPa ; Time: 11:21:51.684 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041177 MPa ; Time: 11:21:52.689 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041183 MPa ; Time: 11:21:53.708 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041363 MPa ; Time: 11:21:54.724 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041520 MPa ; Time: 11:21:55.726 ; Date: 15.02.2021
